id,created_at,created_by_id,question,answer
00006840-2d64-4da5-aede-e732b1ca3506,2024-12-02 06:03:55.931795+00,rfvcQZcsGohOZ3Lro7uP8mmHJ602,Where did you first hear about Wondercraft?,Other
00008899-6924-4835-97b6-7a33d585d091,2024-12-02 22:53:02.720618+00,9wma1geAOuaApuUTBoKgoV0mQVo2,What are you looking to create?,Podcast
00038faa-b63b-433d-be2e-73ad62a7a001,2024-12-10 11:05:08.420339+00,2tOYP5n5diTqDlGuwlCVHTlGkGm1,Where did you first hear about Wondercraft?,"Search engines (Google, Yahoo, Bing, etc)"
0003a347-4b58-44ea-859a-b72312f0aaa9,2024-11-28 21:21:49.542686+00,CNFrs6IckpfqTSu0SegnDGZR5dG3,Which of the following best describes you?,Educator/Teacher
0003af9b-a954-4498-ab81-3f82601c4ce5,2024-12-07 03:03:05.537383+00,WDAwepJz6zTx9yLpqYRDAzAFwKr2,What are you looking to create?,Podcast
00057cbe-a79b-4c0c-ba2e-3d0740124a09,2024-12-03 07:09:43.617318+00,DiYLYqCRirMUexHoUkvwXttJuRH2,What are you looking to create?,Podcast
00088fa4-a243-4261-a51f-0b1ebc5c40c1,2024-12-06 15:01:21.308385+00,RGmdFGryJwPbidpeAwiL5dbn1ZG2,Where did you first hear about Wondercraft?,Newsletter or article
000d4f8d-8f93-403d-9315-541e72ba7b75,2024-12-03 14:50:48.150745+00,fiY2Rv36p3Zjpa8nsx2kw15Qw6z2,Where did you first hear about Wondercraft?,"Search engines (Google, Yahoo, Bing, etc)"
000d5955-b308-4500-9aa9-01dabfe47fcf,2024-12-10 04:25:43.847378+00,OSLEhjcqXkPZDDV6LaJiVtIhjkF3,Which of the following best describes you?,Student
001176b2-57c0-44b1-8f5d-16e9aaf60883,2024-12-02 07:55:29.562142+00,uR6VTF9fTEREKpYkL1IS0J9K3qC3,What are you looking to create?,Podcast
001336d4-d29a-474e-b502-c451bb6c2f0b,2024-12-03 16:12:18.734395+00,AQVj1zh2ThPTZTPNQxvAyzAsy1i1,What are you looking to create?,Podcast
0014e6f0-aee7-4a93-b4a8-3f8dd6db5a4d,2024-12-02 12:52:45.390549+00,lx5oPQnVXPeB3krsG1higJqBoK63,Which of the following best describes you?,Student
001533c3-7046-42f9-ad44-59ba5a53a317,2024-12-01 14:59:46.108731+00,GN3xmhvhxbMi4doXVCs9i9J8EvG3,What are you looking to create?,Podcast
00154620-effe-44d3-87ba-d5d1f2d3f303,2024-12-10 05:29:44.226008+00,VkZNl4LF85SKcIqqGiBqo3BpbRL2,Which of the following best describes you?,Student
00170df0-129d-4cc1-8b44-542bad8175eb,2024-12-10 22:57:20.008508+00,33YylM7krGTrmpiB9PgEKa187m42,Where did you first hear about Wondercraft?,"Social media (LinkedIn, X, Threads, TikTok or Instagram)"
001dd95f-bf03-49a8-ae8e-e690f4715343,2024-12-04 15:01:55.011375+00,f5ttQypl2whISgKsuUkhRnoKKEm1,Where did you first hear about Wondercraft?,"Wondercraft generator tools (podcast, ad, meditation tool)"
001f4e00-f867-430b-921b-6c8ee4547505,2024-12-03 21:22:58.13084+00,1V0QnZungwNolfDeit2FHORXRTB2,Where did you first hear about Wondercraft?,"Search engines (Google, Yahoo, Bing, etc)"
002328c4-0146-4de6-82f0-93a114c2c172,2024-12-10 21:19:18.602733+00,Fe8kscgFjIYdVHq8zfUtWW5biUl1,Which of the following best describes you?,Educator/Teacher
00243a19-2572-4ecd-aedd-e1951314b688,2024-11-27 12:45:45.542019+00,B3uZkFWy48aYcLXCVnWCfid1ilw2,What are you looking to create?,Podcast
002c6078-5512-4d5d-8d4e-d9e556f5a1fe,2024-11-29 12:48:34.145771+00,Q6cRSZu3UuYQZtP7Goo1XggdgXo2,Which of the following best describes you?,Researcher/Academic
002d24ad-10d4-40a6-9b42-e84e410a092e,2024-12-02 14:03:37.237349+00,cSFTyygB74VdpMFbYi9pTh5iaR92,What are you looking to create?,Podcast
002fceb7-0909-4460-a5e6-485fe2ff496f,2024-12-04 12:43:27.790178+00,FqNFocBfVVeHJr5njhsXgdWEJsz1,Where did you first hear about Wondercraft?,"Search engines (Google, Yahoo, Bing, etc)"
00314adc-f903-4f90-b3da-a895fa29b360,2024-12-08 22:36:55.939402+00,vcicyMDLMDaLgLI3s5sRztQA4Ot2,Where did you first hear about Wondercraft?,"Search engines (Google, Yahoo, Bing, etc)"
003195e7-c913-46d1-84c4-4fe869aefaf6,2024-12-01 03:38:21.001662+00,63sJqFDw88ZiXB61o38mgiMalgV2,Where did you first hear about Wondercraft?,Other
0031c3a7-d233-4925-a8c2-60cdc4ca13c1,2024-12-02 18:01:22.245264+00,MalDFrUXFYXr3MYZ9HEJweSR0f63,Where did you first hear about Wondercraft?,YouTube
00368880-3103-4c36-a5ef-18ee4aa76954,2024-12-11 14:43:55.197947+00,RwKzMTa4uacWqXDh5LoJlBV9GM62,Which of the following best describes you?,Student
003a65c8-8615-4c22-a882-9c9faf445b9e,2024-12-11 16:36:15.768322+00,ky4HfdQMy4esUmNyuS9LC3tvuNK2,Which of the following best describes you?,Student
